"business","category","neighborhood","street","latitude","longitude"
"Community Eye Care","Optometrists","Lawndale/Wayside","2391 S Wayside Dr",29.7170541,-95.3122611
"Richard Ullman OD","Optometrists","The Heights","Yale Eye Center",29.7995924,-95.4201377
"Memorial Park Vision","Optometrists","River Oaks, Rice Military","5535 Memorial Dr",29.7608216,-95.4176913
"Today’s Vision Sawyer Heights","Optometrists, Eyewear & Opticians","The Heights","1909 Taylor St",29.7740974,-95.3831389
"Vision Optique","Optometrists, Eyewear & Opticians","West University","5158 Buffalo Speedway",29.7267342,-95.4296638
"Eye Impact","Optometrists, Eyewear & Opticians","The Heights, Rice Military, Washington Corridor","5601 Washington Ave",29.770527,-95.4187451
"Eye Care Central","Optometrists, Eyewear & Opticians","Midtown","1202 Elgin St",29.7401161,-95.3752762
"Perfect Vision Eyecare & Eyewear","Optometrists, Eyewear & Opticians","Upper Kirby","2518 Richmond Ave",29.7344693,-95.4172103
"Focus - Refined Eye Care","Eyewear & Opticians, Medical Spas, Optometrists","Fourth Ward, Montrose","515 Westheimer Rd",29.7441728,-95.3881649
"Eye to Eye","Optometrists","The Heights","432 W 19th St",29.802497,-95.4050536
"Today’s Vision","Eyewear & Opticians, Optometrists","Memorial, Galleria/Uptown","5771 San Felipe",29.749425,-95.4784668
"Diagnostic Eye Center","Optometrists, Laser Eye Surgery/Lasik, Ophthalmologists","Highland Village","3405 Edloe St",29.7355182,-95.4331778
"Family Vision Solutions","Optometrists","Gulfton, Galleria/Uptown","5177 Richmond Ave",29.7311841,-95.4660092
